MONTH,ORIGIN_CITY,num_delays,avg_delay_time
November,SLC,1657,26.15
December,ATL,4726,23.98
December,BWI,1982,22.02
December,CLT,2665,27.25
December,DAL,1429,19.12
December,DFW,5587,37.45
December,DTW,1832,42.01
December,EWR,1483,31.83
December,FLL,1542,29.88
December,IAH,1740,39.03
December,LAS,1867,23.25
December,LAX,2153,31.35
December,MCO,2062,26.53
December,MDW,1735,16.40
December,MSP,1503,43.39
December,ORD,2558,36.89
December,PHL,936,41.15
December,PHX,2494,28.55
December,SEA,1880,24.65
December,SFO,848,33.04
December,SLC,2219,33.98
