MONTH,ORIGIN_CITY,num_delays,avg_delay_time
November,MDW,7551,24.12
November,MIA,8096,37.00
November,ORD,17735,37.38
November,PHX,13626,30.12
November,SEA,12053,27.95
November,SFO,7145,32.96
November,SLC,7109,28.38
December,ATL,25932,31.91
December,BWI,10089,31.55
December,CLT,14459,36.15
December,DAL,8291,30.92
December,DFW,24483,42.37
December,DTW,8993,40.81
December,EWR,14375,43.05
December,IAH,12827,39.67
December,JFK,9930,42.66
December,LAS,16720,38.78
December,LAX,16841,39.68
December,LGA,9401,41.94
December,MCO,14737,40.25
December,MDW,8445,30.95
December,MIA,9354,37.04
December,ORD,22114,43.83
December,PHX,16113,35.18
December,SEA,15656,38.57
December,SFO,10637,38.29
December,SLC,10770,42.57
