DAY_OF_WEEK,num_delays,avg_delay_time
Monday,357617,40.66
Tuesday,300125,36.60
Wednesday,302976,36.84
Thursday,352762,40.84
Friday,386698,42.52
Saturday,321613,41.90
Sunday,375862,40.95
