ELEVATION_CATEGORY,num_delays,avg_delay_time
100,324857,36.02
200,175829,31.88
300,151947,39.39
400,90412,31.14
500,4263,58.31
600,1628,63.37
700,25502,27.21
800,4819,40.21
900,3606,47.80
1000,3651,52.98
1100,1280,51.02
1200,2230,49.84
1300,18877,30.70
1400,3808,40.70
1500,852,68.35
1600,149,99.44
1700,3005,42.83
1800,416,67.45
1900,1193,81.84
2000,214,82.00
2100,453,73.27
2200,233,71.38
2300,81,79.06
2400,1159,81.77
