DAY_OF_WEEK,num_delays,avg_delay_time
Monday,279070,41.52
Tuesday,221804,37.73
Wednesday,226740,36.60
Thursday,278351,38.49
Friday,292150,37.33
Saturday,249321,38.08
Sunday,295671,38.95
