DEWP_CATEGORY,num_delays,avg_delay_time
-35,46,68.07
-30,109,55.94
-25,293,68.82
-20,770,69.06
-15,2027,70.49
-10,4846,67.42
-5,8657,60.17
0,16270,54.88
5,35905,47.81
10,69084,44.55
15,99638,40.80
20,170647,39.30
25,260350,37.69
30,323943,37.13
35,345060,35.97
40,350446,35.45
45,364509,35.66
50,395120,35.54
55,467239,35.60
60,451575,37.06
65,544923,39.35
70,580559,41.16
75,492483,46.63
80,76858,45.39
85,9,34.33
